OutletId,Outlet,ProductId,Name,UnitOfMeasureId,UOM,Barcode,OpeningQuantity,DeliveryQuantity,SoldQuantity
1,LYD NISA,2133,EDGE HEIZEN12MG PM£2.50 *,1,Each,5060566143448,2,0,0
1,LYD NISA,20144,EDGE STRAWMIL 12MGPM2.50*,1,Each,5060566143516,3,0,0
1,LYD NISA,12352,Edge Virginia Tobacco - 18MG,1,Each,5060657343078,5,0,2
1,LYD NISA,25992,EDGE VIRGTOB 12MG PM2.50*,1,Each,5060566143530,1,0,0
1,LYD NISA,10256,ELF BAR APPLE PEACH 20MG *,1,Each,6975207752950,7,0,0
1,LYD NISA,11068,ELF BAR ELFBULL ICE 20MG *,1,Each,6975207753056,18,0,0
1,LYD NISA,17223,ELFA PODS BLUE RASP 20MG*,1,Each,6937643541383,2,0,0
1,LYD NISA,4109,ELFA PODS BLUE RAZZ 20MG*,1,Each,6937643541352,2,0,0
1,LYD NISA,16695,ELFA PODS KIWI GUAV 20MG*,1,Each,6937643541420,2,0,0
1,LYD NISA,4770,ELFA RECHARGE KIT BLACK *,1,Each,6937643541307,2,0,0
1,LYD NISA,25964,ELFBAR DUAL Blue Edition,1,Each,6932570106681,0,0,2
1,LYD NISA,22653,ELFBAR DUAL Cherry Edition,1,Each,6932570106704,1,0,1
1,LYD NISA,11009,ELFBAR DUAL Fruity Edition,1,Each,6932570106742,5,0,2
1,LYD NISA,11592,ELFBAR DUAL Kit Lemon Edition,1,Each,6932570106773,3,0,1
1,LYD NISA,22403,ELFBAR DUAL Pineapple Edition,1,Each,6932570106780,1,0,1
1,LYD NISA,25211,ELFBAR DUAL Special Edition,1,Each,6932570106803,2,0,1
1,LYD NISA,7391,ELF-LIQ- Cherry - 20MG,1,Each,4895254000465,6,0,0
1,LYD NISA,11597,ELF-LIQ- PINK LEMONADE - 20MG,1,Each,4895254000571,9,0,0
1,LYD NISA,4435,ELF-LIQ-BLUEBERRY - 20MG,1,Each,4895254000441,10,0,2
1,LYD NISA,15696,ELF-LIQ-BLUERAZZLEMONADE - 20MG,1,Each,4895254000434,9,0,0
1,LYD NISA,17400,ELF-LIQ-BLUESOURRASPBERRY - 20MG,1,Each,4895254000458,10,0,1
1,LYD NISA,266,ELF-LIQ-SPEARMINT - 20MG,1,Each,4895254000588,10,0,0
1,LYD NISA,18357,ELF-LIQ-WATERMELON - 20MG,1,Each,4895254000625,10,0,1
1,LYD NISA,27570,Elux Lgnd Salts Blu Ch Cran 20Mg,1,Each,5060656827937,9,0,3
1,LYD NISA,21706,Elux Lgnd Salts Blue Ras 20Mg,1,Each,5060656827944,3,0,3
1,LYD NISA,7528,Elux Lgnd Salts Blue Sr Ras 20Mg,1,Each,5060656827951,5,0,5
1,LYD NISA,15614,Elux Lgnd Salts Lemon Lime 20Mg,1,Each,5060656828019,6,0,4
1,LYD NISA,18121,Elux Lgnd Salts Mr Blue 20Mg,1,Each,5060656828033,7,0,1
1,LYD NISA,3746,Elux Lgnd Salts Trple Mango 20Mg,1,Each,5060656828088,9,0,2
1,LYD NISA,24854,EPC VERY LAZY RED CHILLI,1,Each,5012818160178,4,0,2
1,LYD NISA,5301,Everyday Code D,1,Each,5026309550959,0,0,8
1,LYD NISA,16690,Everyday Code H,1,Each,5026309550065,0,0,2
1,LYD NISA,19136,Everyday Code U,1,Each,5026309001017,0,0,19
1,LYD NISA,2435,FAIRY WUL ANTI BAC EUCALYP,1,Each,8700216003643,4,0,4
1,LYD NISA,2042,Fan Candy,1,Each,5021778005412,0,0,11
1,LYD NISA,18917,FANTA ZERO TUTTI FRUITTI,1,Each,5449000335319,15,0,15
1,LYD NISA,7159,Fantasia Uni Sqhy Beanie Clip,1,Each,8421395729,3,0,0
1,LYD NISA,282,FARM SQUEEZY MESHABLES,1,Each,5037832308573,2,0,0
1,LYD NISA,27509,Farty Putties Asst * 64,1,Each,5014631014294,27,0,5
1,LYD NISA,13174,Fetch Dog Squishy Beanie Clip,1,Each,8421395675,3,0,0
1,LYD NISA,22938,Fibre Optic Dino Wand,1,Each,5025509159788,0,0,1
1,LYD NISA,24892,Fibre Optic Wand,1,Each,"5025509119744,5025509119744,5025509119744",0,0,3
1,LYD NISA,12114,Fidget Track,1,Each,5037832323552,71,0,0
1,LYD NISA,9470,Fish Bubble Gun Refill,1,Each,5025509159771,0,0,1
1,LYD NISA,19163,FLASH POP FIDGET GAME W/ MUSIC,1,Each,5025509174064,0,0,11
1,LYD NISA,17637,Flashing Crown Wand,1,Each,5025509159825,0,0,1
1,LYD NISA,5713,FLASHING EYE WATER BALL,1,Each,5037832316677,1,0,0
1,LYD NISA,18494,Flashing Jellyball Pumpkin,1,Each,5025509171230,1,0,0
1,LYD NISA,11786,FLASHING MINI GAME W/SOUND,1,Each,5025509173937,0,0,2
1,LYD NISA,13153,FLASHING OCTOPUS SUCKER,1,Each,5025509174187,0,0,1
