ProductId,Outlet,CorrectOpeningQuantity,CorrectSoldQuantity,CorrectDeliveryQuantity,IncorrectProductIds
28650,GS NISA,1.0,1.0,0.0,15144
28275,GS NISA,6.0,8.0,0.0,14236
28235,GS NISA,5.0,9.0,0.0,20821
28260,GS NISA,12.0,10.0,0.0,21957
28269,GS NISA,7.0,1.0,0.0,23655
28217,GS NISA,11.0,8.0,0.0,7218
28233,GS NISA,9.0,6.0,0.0,10394
28232,GS NISA,10.0,7.0,0.0,22164
28273,GS NISA,3.0,1.0,0.0,6060
28204,GS NISA,2.0,2.0,0.0,17752
28231,GS NISA,3.0,2.0,0.0,13749
28239,GS NISA,8.0,7.0,0.0,12220
28223,GS NISA,3.0,2.0,0.0,2558
28196,GS NISA,5.0,3.0,0.0,9746
28215,GS NISA,1.0,1.0,0.0,4636
28224,GS NISA,10.0,1.0,0.0,7833
28218,GS NISA,7.0,4.0,0.0,1022
28250,GS NISA,8.0,9.0,0.0,420
28243,GS NISA,8.0,5.0,0.0,119
28200,GS NISA,4.0,1.0,0.0,13829
28240,GS NISA,8.0,4.0,0.0,7534
28245,GS NISA,9.0,5.0,0.0,11129
28254,GS NISA,3.0,2.0,0.0,12812
28427,GS NISA,32.0,8.0,0.0,16112
28211,GS NISA,11.0,5.0,0.0,12999
28251,GS NISA,1.0,4.0,0.0,11664
28234,GS NISA,1.0,2.0,0.0,6480
28263,GS NISA,2.0,2.0,0.0,22151
28190,GS NISA,7.0,4.0,0.0,16548
28222,GS NISA,13.0,5.0,0.0,23467
28266,GS NISA,7.0,3.0,0.0,25437
28253,GS NISA,5.0,5.0,0.0,21777
28213,GS NISA,2.0,1.0,0.0,2579
28236,GS NISA,5.0,6.0,0.0,2553
28226,GS NISA,15.0,4.0,0.0,19849
28210,GS NISA,7.0,2.0,0.0,10594
28202,GS NISA,5.0,9.0,0.0,9056
28189,GS NISA,6.0,6.0,0.0,25808
28194,GS NISA,1.0,3.0,0.0,7964
28220,GS NISA,2.0,6.0,0.0,2473
28198,GS NISA,3.0,5.0,0.0,45
28225,GS NISA,14.0,8.0,0.0,21197
28242,GS NISA,9.0,8.0,0.0,9600
28214,GS NISA,2.0,2.0,0.0,10897
28259,GS NISA,6.0,1.0,0.0,9331
28247,GS NISA,1.0,5.0,0.0,21964
28529,GS NISA,41.0,6.0,0.0,23573
28529,GS NISA,41.0,6.0,0.0,23573
28373,GS NISA,4.0,3.0,0.0,13177
28368,GS NISA,3.0,1.0,0.0,19944
28375,GS NISA,9.0,2.0,0.0,26403
28219,GS NISA,8.0,5.0,0.0,15974
28188,GS NISA,5.0,2.0,0.0,14038
28248,GS NISA,7.0,7.0,0.0,15176
28212,GS NISA,14.0,2.0,0.0,360
28256,GS NISA,4.0,2.0,0.0,9791
28221,GS NISA,10.0,11.0,0.0,6735
28208,GS NISA,7.0,7.0,0.0,799
28268,GS NISA,6.0,6.0,0.0,25864
28192,GS NISA,1.0,3.0,0.0,19207
28216,GS NISA,13.0,8.0,0.0,383
28270,GS NISA,7.0,2.0,0.0,10302
28191,GS NISA,12.0,13.0,0.0,7992
28272,GS NISA,11.0,3.0,0.0,19958
28244,GS NISA,5.0,1.0,0.0,3688
28492,GS NISA,14.0,14.0,0.0,19070
28562,GS NISA,9.0,18.0,0.0,2960
28901,GS NISA,9.0,5.0,0.0,53
28499,GS NISA,10.0,15.0,0.0,7554
28490,GS NISA,5.0,5.0,0.0,404
28872,GS NISA,7.0,9.0,0.0,7597
28496,GS NISA,15.0,4.0,0.0,7676
28864,GS NISA,9.0,17.0,0.0,14399
28839,GS NISA,9.0,16.0,0.0,12847
28837,GS NISA,9.0,8.0,0.0,19030
29166,GS NISA,1.0,1.0,0.0,16492
28494,GS NISA,17.0,4.0,0.0,23658
29167,GS NISA,5.0,8.0,0.0,23174
29165,GS NISA,4.0,12.0,0.0,5963
28433,LYD NISA,63.0,10.0,0.0,15720
28521,LYD NISA,95.0,12.0,0.0,25291
28782,LYD NISA,1.0,1.0,0.0,852
28869,LYD NISA,86.0,51.0,0.0,3223
28497,LYD NISA,12.0,17.0,0.0,26307
29146,LYD NISA,27.0,23.0,0.0,21336
29143,LYD NISA,80.0,13.0,0.0,23909
29151,LYD NISA,141.0,8.0,0.0,12229
29152,LYD NISA,146.0,33.0,0.0,19839
28913,LYD NISA,4.0,4.0,0.0,7547
28797,LYD NISA,10.0,8.0,0.0,17770
29641,LYD NISA,4.0,44.0,30.0,26627
28477,LYD NISA,5.0,1.0,0.0,9333
29637,LYD NISA,8.0,89.0,70.0,17318
28612,LYD NISA,5.0,2.0,0.0,7963
28613,LYD NISA,21.0,2.0,0.0,11275
28380,LYD NISA,43.0,28.0,0.0,1530
29617,LYD NISA,46.0,69.0,0.0,12669
29618,LYD NISA,36.0,78.0,0.0,1773
29616,LYD NISA,45.0,95.0,0.0,689
30347,LYD NISA,21.0,13.0,0.0,27293
29638,LYD NISA,3.0,77.0,64.0,2365
29156,LYD NISA,6.0,2.0,0.0,22024
31653,LYD NISA,13.0,150.0,99.0,16557
29610,LYD NISA,18.0,28.0,0.0,8597
30442,LYD NISA,0.0,536.0,0.0,22928
28788,LYD NISA,7.0,1.0,0.0,9609
28347,LYD NISA,3.0,3.0,0.0,1342
28912,LYD NISA,35.0,19.0,0.0,445
28369,LYD NISA,30.0,13.0,0.0,27109
28809,LYD NISA,16.0,2.0,0.0,2080
22354,LYD NISA,0.0,4.0,0.0,20717
28948,LYD NISA,32.0,18.0,0.0,6101
28285,LYD NISA,351.0,183.0,0.0,15370
28925,LYD NISA,2.0,6.0,0.0,27316
28761,LYD NISA,13.0,2.0,0.0,4146
28289,LYD NISA,25.0,9.0,0.0,1420
28289,LYD NISA,25.0,9.0,0.0,1420
29037,LYD NISA,1.0,1.0,0.0,16395
29469,LYD NISA,9.0,6.0,0.0,235
29453,LYD NISA,2.0,3.0,0.0,17642
29455,LYD NISA,1.0,11.0,0.0,2026
31781,LYD NISA,5.0,60.0,0.0,12065
28947,LYD NISA,15.0,7.0,0.0,15775
28758,LYD NISA,19.0,9.0,0.0,26351
28816,LYD NISA,17.0,9.0,0.0,4259
28919,LYD NISA,13.0,11.0,0.0,5173
29078,LYD NISA,2.0,1.0,0.0,26049
29013,LYD NISA,16.0,8.0,0.0,5301
29014,LYD NISA,6.0,2.0,0.0,16690
29012,LYD NISA,51.0,19.0,0.0,19136
28818,LYD NISA,2.0,1.0,0.0,22938
28748,LYD NISA,3.0,3.0,0.0,24892
28281,LYD NISA,23.0,1.0,0.0,9470
28799,LYD NISA,14.0,11.0,0.0,19163
29050,LYD NISA,2.0,1.0,0.0,17637
28362,LYD NISA,5.0,2.0,0.0,11786
28836,LYD NISA,23.0,1.0,0.0,13153
28322,LYD NISA,2.0,1.0,0.0,17690
28352,LYD NISA,5.0,9.0,0.0,10483
29085,LYD NISA,8.0,1.0,0.0,13086
28920,LYD NISA,14.0,5.0,0.0,21186
28937,LYD NISA,21.0,15.0,0.0,12173
28822,LYD NISA,2.0,2.0,0.0,19225
29097,LYD NISA,9.0,2.0,0.0,14091
29019,LYD NISA,2.0,2.0,0.0,20162
29018,LYD NISA,4.0,2.0,0.0,4286
29017,LYD NISA,5.0,2.0,0.0,1941
29020,LYD NISA,4.0,2.0,0.0,22294
28842,LYD NISA,9.0,6.0,0.0,19247
30967,LYD NISA,0.0,10.0,0.0,29907
30968,LYD NISA,0.0,11.0,0.0,29907
30969,LYD NISA,0.0,11.0,0.0,29907
30970,LYD NISA,0.0,10.0,0.0,29907
28945,LYD NISA,23.0,5.0,0.0,26273
28784,LYD NISA,8.0,1.0,0.0,8462
28938,LYD NISA,53.0,16.0,0.0,10915
28318,LYD NISA,21.0,13.0,0.0,14988
28372,LYD NISA,12.0,8.0,0.0,924
28849,LYD NISA,13.0,6.0,0.0,1570
28939,LYD NISA,10.0,5.0,0.0,646
28960,LYD NISA,24.0,75.0,0.0,1098
29074,LYD NISA,7.0,4.0,0.0,12929
28918,LYD NISA,21.0,5.0,0.0,27530
28943,LYD NISA,3.0,5.0,0.0,7631
29080,LYD NISA,14.0,1.0,0.0,10516
28350,LYD NISA,15.0,2.0,0.0,3749
29098,LYD NISA,8.0,2.0,0.0,22881
28881,LYD NISA,46.0,8.0,0.0,16592
29492,LYD NISA,3.0,3.0,0.0,20605
29508,LYD NISA,9.0,7.0,0.0,4579
29512,LYD NISA,5.0,6.0,0.0,14483
